序号,标题,作者,文章类型,年份,期数,引用格式
133,广西八步八都话的“先长闭元音”,麦耘,语音学与音系学,2008,总第31/32 期,"麦耘.广西八步八都话的“先长闭元音”[J].澳门语言学刊,2008年总第31/32 期."
134,Monosyllabicity and Disyllabicity in Chinese Prosodic Morphology,Shengli Feng,语音学与音系学,2009,第1期,"Shengli Feng.Monosyllabicity and Disyllabicity in Chinese Prosodic Morphology[J].澳门语言学刊,2009年第1期."
135,古知庄章三组声母在汾西方言中的演变,乔全生、王为民,语音学与音系学,2009,第2期,"乔全生、王为民.古知庄章三组声母在汾西方言中的演变[J].澳门语言学刊,2009年第2期."
136,《广韵》版本间比较——江教版《宋本广韵》读后,桑宇红,语音学与音系学,2010,第1期,"桑宇红.《广韵》版本间比较——江教版《宋本广韵》读后[J].澳门语言学刊,2010年第1期."
137,浅论北京话的“吃文断字”现象,孔庆东,语音学与音系学,2011,第1期,"孔庆东.浅论北京话的“吃文断字”现象[J].澳门语言学刊,2011年第1期."
138,再说“开合等呼”,张振兴,语音学与音系学,2011,第1期,"张振兴.再说“开合等呼”[J].澳门语言学刊,2011年第1期."
139,汉语方言调型特征研究,王莉宁,语音学与音系学,2014,第2期,"王莉宁.汉语方言调型特征研究[J].澳门语言学刊,2014年第2期."
140,闽语“嵗”的文白异读,孙顺,语音学与音系学,2015,第1期,"孙顺.闽语“嵗”的文白异读[J].澳门语言学刊,2015年第1期."
141,苏北方言古非敷奉母的读音及演变,冯青青,语音学与音系学,2015,第2期,"冯青青.苏北方言古非敷奉母的读音及演变[J].澳门语言学刊,2015年第2期."
142,羌语支诸语言的声调、韵律和语气词,陈鑫海,语音学与音系学,2016,第1期,"陈鑫海.羌语支诸语言的声调、韵律和语气词[J].澳门语言学刊,2016年第1期."
143,山东章丘方言的轻声前变调及所反映的现象,赵学玲,语音学与音系学,2016,第2期,"赵学玲.山东章丘方言的轻声前变调及所反映的现象[J].澳门语言学刊,2016年第2期."
144,江沙维《汉洋合字汇》音系性质探讨,艾溢芳,语音学与音系学,2016,第2期,"艾溢芳.江沙维《汉洋合字汇》音系性质探讨[J].澳门语言学刊,2016年第2期."
145,汉语方言节奏的声学特征,林华,语音学与音系学,2017,第2期,"林华.汉语方言节奏的声学特征[J].澳门语言学刊,2017年第2期."
146,桐城话双音节轻声词连调初探,孙顺,语音学与音系学,2017,第2期,"孙顺.桐城话双音节轻声词连调初探[J].澳门语言学刊,2017年第2期."
147,从语音史角度看现代广州话韵母的音系归纳,李德超,语音学与音系学,2017,第2期,"李德超.从语音史角度看现代广州话韵母的音系归纳[J].澳门语言学刊,2017年第2期."
148,河南修武（郇封）方言的名词变韵,刘丹丹,语音学与音系学,2018,第2期,"刘丹丹.河南修武（郇封）方言的名词变韵[J].澳门语言学刊,2018年第2期."
149,韵律对黄梅戏唱词的影响,张莹,语音学与音系学,2018,第2期,"张莹.韵律对黄梅戏唱词的影响[J].澳门语言学刊,2018年第2期."
150,北部吴语次浊字读入阴调现象的探讨,姜晓芳,语音学与音系学,2018,第2期,"姜晓芳.北部吴语次浊字读入阴调现象的探讨[J].澳门语言学刊,2018年第2期."
151,绍兴（柯桥）方言声调的声学和感知研究,周怿培、张帆,语音学与音系学,2019,第2期,"周怿培、张帆.绍兴（柯桥）方言声调的声学和感知研究[J].澳门语言学刊,2019年第2期."
152,论梵汉对音的时代性,梁慧婧,语音学与音系学,2020,第1期,"梁慧婧.论梵汉对音的时代性[J].澳门语言学刊,2020年第1期."
153,福建漳平赤水方言两字组连读变调,陈宝贤,语音学与音系学,2021,第1期,"陈宝贤.福建漳平赤水方言两字组连读变调[J].澳门语言学刊,2021年第1期."
154,广西桂林市雁山区雁山镇（竹园村）土话语音特点,赵媛,语音学与音系学,2021,第1期,"赵媛.广西桂林市雁山区雁山镇（竹园村）土话语音特点[J].澳门语言学刊,2021年第1期."
155,昆剧老生和小丑情感念白声学特征比较,董理、陈奕瑜,语音学与音系学,2021,第1期,"董理、陈奕瑜.昆剧老生和小丑情感念白声学特征比较[J].澳门语言学刊,2021年第1期."
156,广东罗定（素龙）?古话音系特征及同音字汇,李华琛、黄彦凯,语音学与音系学,2021,第2期,"李华琛、黄彦凯.广东罗定（素龙）?古话音系特征及同音字汇[J].澳门语言学刊,2021年第2期."
157,清末民初国音的建构理念与音系模式,王继超,语音学与音系学,2022,第1期,"王继超.清末民初国音的建构理念与音系模式[J].澳门语言学刊,2022年第1期."
158,语音形式删除的汉语研究综述,倪广妍、李心敬,语音学与音系学,2022,第2期,"倪广妍、李心敬.语音形式删除的汉语研究综述[J].澳门语言学刊,2022年第2期."
159,源自葡语的借词和译词,老志钧,词汇学与辞书学,1996,总第2/3期,"老志钧.源自葡语的借词和译词[J].澳门语言学刊,1996年总第2/3期."
160,澳门外来词简析,龙裕琛,词汇学与辞书学,1996,总第2/3期,"龙裕琛.澳门外来词简析[J].澳门语言学刊,1996年总第2/3期."
161,港澳词语探新,邵景滨,词汇学与辞书学,1996,总第2/3期,"邵景滨.港澳词语探新[J].澳门语言学刊,1996年总第2/3期."
162,“鸟”在现代粤语中用作骂人粗话的商榷,老志钧,词汇学与辞书学,1997,总第4/5期,"老志钧.“鸟”在现代粤语中用作骂人粗话的商榷[J].澳门语言学刊,1997年总第4/5期."
163,港澳粤方言新词探源,邓景滨,词汇学与辞书学,1997,总第4/5期,"邓景滨.港澳粤方言新词探源[J].澳门语言学刊,1997年总第4/5期."
164,双声与叠韵,向倩,词汇学与辞书学,1998,总第6/7期,"向倩.双声与叠韵[J].澳门语言学刊,1998年总第6/7期."
165,同素逆序词的范围、成因及其修辞功能,章汝为,词汇学与辞书学,1998,总第6/7期,"章汝为.同素逆序词的范围、成因及其修辞功能[J].澳门语言学刊,1998年总第6/7期."
166,孙勿恐、朱无能、杀勿敬—从谐音指义看《西游记》的反皇思想,靳青万,词汇学与辞书学,1998,总第6/7期,"靳青万.孙勿恐、朱无能、杀勿敬—从谐音指义看《西游记》的反皇思想[J].澳门语言学刊,1998年总第6/7期."
167,港澳新词语的思考,邓景滨,词汇学与辞书学,1998,总第6/7期,"邓景滨.港澳新词语的思考[J].澳门语言学刊,1998年总第6/7期."
168,港澳流行语浅析,龙裕琛,词汇学与辞书学,1998,总第6/7期,"龙裕琛.港澳流行语浅析[J].澳门语言学刊,1998年总第6/7期."
169,澳门博彩隐语研究,邵朝阳,词汇学与辞书学,2000,总第10/11期,"邵朝阳.澳门博彩隐语研究[J].澳门语言学刊,2000年总第10/11期."
170,港澳两地新闻标题的动词比较初探,邹嘉彦、钱志安,词汇学与辞书学,2000,总第10/11期,"邹嘉彦、钱志安.港澳两地新闻标题的动词比较初探[J].澳门语言学刊,2000年总第10/11期."
171,浅论港澳新词语的产生与使用,龙裕琛,词汇学与辞书学,2002,总第16/17期,"龙裕琛.浅论港澳新词语的产生与使用[J].澳门语言学刊,2002年总第16/17期."
172,白语对联研究,余德泉,词汇学与辞书学,2002,总第16/17期,"余德泉.白语对联研究[J].澳门语言学刊,2002年总第16/17期."
173,论理据性原则在异形词整理中的优选地位,崔蕊,词汇学与辞书学,2003,总第20/21期,"崔蕊.论理据性原则在异形词整理中的优选地位[J].澳门语言学刊,2003年总第20/21期."
174,张家口地区地名初探,贺敏洁,词汇学与辞书学,2003,总第20/21期,"贺敏洁.张家口地区地名初探[J].澳门语言学刊,2003年总第20/21期."
175,《现代汉语方言大词典》“说”字条读后——关于分地词典如何处理“通用词”的一点想法,汪维辉,词汇学与辞书学,2008,总第31/32期,"汪维辉.《现代汉语方言大词典》“说”字条读后——关于分地词典如何处理“通用词”的一点想法[J].澳门语言学刊,2008年总第31/32期."
176,“汉语”与“近代”——置身于东亚语境中的思考,沈国威,词汇学与辞书学,2009,第1期,"沈国威.“汉语”与“近代”——置身于东亚语境中的思考[J].澳门语言学刊,2009年第1期."
177,马礼逊《英汉字典》初探,刘羡冰,词汇学与辞书学,2009,第1期,"刘羡冰.马礼逊《英汉字典》初探[J].澳门语言学刊,2009年第1期."
178,有关同族词研究的一点思考,董秀芳,词汇学与辞书学,2009,第1期,"董秀芳.有关同族词研究的一点思考[J].澳门语言学刊,2009年第1期."
179,“呛声”的音义分析,邵朝阳,词汇学与辞书学,2009,第1期,"邵朝阳.“呛声”的音义分析[J].澳门语言学刊,2009年第1期."
180,复合词的内容形式,王艾录,词汇学与辞书学,2009,第1期,"王艾录.复合词的内容形式[J].澳门语言学刊,2009年第1期."
181,现代汉语术语增多的趋势及其原因,孙彩惠、张志毅,词汇学与辞书学,2009,第1期,"孙彩惠、张志毅.现代汉语术语增多的趋势及其原因[J].澳门语言学刊,2009年第1期."
182,理论与实践完美的结合——王力先生对现代辞书的贡献,曹先擢,词汇学与辞书学,2009,第2期,"曹先擢.理论与实践完美的结合——王力先生对现代辞书的贡献[J].澳门语言学刊,2009年第2期."
183,英汉日对照词汇学术词语表,王铭字,词汇学与辞书学,2009,第2期,"王铭字.英汉日对照词汇学术词语表[J].澳门语言学刊,2009年第2期."
184,词汇、意象与文化历史的互动——以“乌”的词汇意象之历史嬗变为例,李东辉,词汇学与辞书学,2009,第2期,"李东辉.词汇、意象与文化历史的互动——以“乌”的词汇意象之历史嬗变为例[J].澳门语言学刊,2009年第2期."
185,论现代汉语典故词语字面义与实际义的联系,唐子恒,词汇学与辞书学,2009,第2期,"唐子恒.论现代汉语典故词语字面义与实际义的联系[J].澳门语言学刊,2009年第2期."
186,语音、文字特点对词汇发展的影响,张彤,词汇学与辞书学,2009,第2期,"张彤.语音、文字特点对词汇发展的影响[J].澳门语言学刊,2009年第2期."
187,“赤鼻”与“赤壁”,汪化云,词汇学与辞书学,2009,第2期,"汪化云.“赤鼻”与“赤壁”[J].澳门语言学刊,2009年第2期."
188,词语本质的多维诠释和词汇理论的立体建构——《从认知到哲学：汉语词汇研究的新思考》读后,匡鹏飞,词汇学与辞书学,2009,第2期,"匡鹏飞.词语本质的多维诠释和词汇理论的立体建构——《从认知到哲学：汉语词汇研究的新思考》读后[J].澳门语言学刊,2009年第2期."
189,中日委婉语对比研究初探,黄力游、林翠芳,词汇学与辞书学,2009,第2期,"黄力游、林翠芳.中日委婉语对比研究初探[J].澳门语言学刊,2009年第2期."
190,说“潮语”,程祥徽,词汇学与辞书学,2010,第1期,"程祥徽.说“潮语”[J].澳门语言学刊,2010年第1期."
191,舰船前后两端应作“艏艉”还是“首尾”？,周荐,词汇学与辞书学,2010,第1期,"周荐.舰船前后两端应作“艏艉”还是“首尾”？[J].澳门语言学刊,2010年第1期."
192,一部反映汉语词汇研究新成果的辞书——读《香港社区词词典》,詹伯慧,词汇学与辞书学,2010,第1期,"詹伯慧.一部反映汉语词汇研究新成果的辞书——读《香港社区词词典》[J].澳门语言学刊,2010年第1期."
193,说“敖包”来自“脑包”,张惠英,词汇学与辞书学,2010,第2期,"张惠英.说“敖包”来自“脑包”[J].澳门语言学刊,2010年第2期."
194,澳门法律条文的用词,龙裕琛,词汇学与辞书学,2011,第1期,"龙裕琛.澳门法律条文的用词[J].澳门语言学刊,2011年第1期."
195,海峡两岸尊称异同述略,汪化云,词汇学与辞书学,2011,第1期,"汪化云.海峡两岸尊称异同述略[J].澳门语言学刊,2011年第1期."
196,“非物质文化遗产”等学术“潮语”名实混乱评议,谭世宝,词汇学与辞书学,2011,第2期,"谭世宝.“非物质文化遗产”等学术“潮语”名实混乱评议[J].澳门语言学刊,2011年第2期."
197,唐诗中“惊”的词义探析——兼谈《汉语大词典》、《辞源》释义的缺漏,郭伏良、夏淑云,词汇学与辞书学,2011,第2期,"郭伏良、夏淑云.唐诗中“惊”的词义探析——兼谈《汉语大词典》、《辞源》释义的缺漏[J].澳门语言学刊,2011年第2期."
198,月亮普方异称构词的计量研究——兼论普通话通称的优势,谢永芳,词汇学与辞书学,2012,第1期,"谢永芳.月亮普方异称构词的计量研究——兼论普通话通称的优势[J].澳门语言学刊,2012年第1期."
199,澳门娱乐名称语言文化分析,尹雪璐,词汇学与辞书学,2012,第1期,"尹雪璐.澳门娱乐名称语言文化分析[J].澳门语言学刊,2012年第1期."
200,“乳房”方言说法的修辞分析及相关问题,李小平,词汇学与辞书学,2012,第1期,"李小平.“乳房”方言说法的修辞分析及相关问题[J].澳门语言学刊,2012年第1期."
201,诗记台港澳新词,程祥徽,词汇学与辞书学,2012,第2期,"程祥徽.诗记台港澳新词[J].澳门语言学刊,2012年第2期."
202,日汉动物词汇的文化意蕴异同比较,林翠芳,词汇学与辞书学,2012,第2期,"林翠芳.日汉动物词汇的文化意蕴异同比较[J].澳门语言学刊,2012年第2期."
203,《现汉》总第6 版释义修订的力度与特色,张博,词汇学与辞书学,2012,第2期,"张博.《现汉》总第6 版释义修订的力度与特色[J].澳门语言学刊,2012年第2期."
204,《全国各界切口大词典》的内容、版本及影响,邵燕梅,词汇学与辞书学,2012,第2期,"邵燕梅.《全国各界切口大词典》的内容、版本及影响[J].澳门语言学刊,2012年第2期."
205,当“邂逅”邂逅“薢茩”,张虹倩,词汇学与辞书学,2012,第2期,"张虹倩.当“邂逅”邂逅“薢茩”[J].澳门语言学刊,2012年第2期."
206,谈汉语单音节词的双音节化问题——以十二生肖词为例,戚晓杰、金欣,词汇学与辞书学,2013,第1期,"戚晓杰、金欣.谈汉语单音节词的双音节化问题——以十二生肖词为例[J].澳门语言学刊,2013年第1期."
207,汉语词语的尺度义场及其词义阐释作用,张道生、曹儒、董宏,词汇学与辞书学,2013,第1期,"张道生、曹儒、董宏.汉语词语的尺度义场及其词义阐释作用[J].澳门语言学刊,2013年第1期."
208,编年本与多年文本新词语词典中的“旧词新义”与“同形新词”——以《2006 汉语新词语》系列词典与《新革新词语词典》为例,曾柱,词汇学与辞书学,2013,第1期,"曾柱.编年本与多年文本新词语词典中的“旧词新义”与“同形新词”——以《2006 汉语新词语》系列词典与《新革新词语词典》为例[J].澳门语言学刊,2013年第1期."
209,论汉语词典收录字母的正当性,邹玉华,词汇学与辞书学,2013,第1期,"邹玉华.论汉语词典收录字母的正当性[J].澳门语言学刊,2013年第1期."
210,汉韩同形异义汉字词词义差异成因探析,魏慧萍,词汇学与辞书学,2013,第1期,"魏慧萍.汉韩同形异义汉字词词义差异成因探析[J].澳门语言学刊,2013年第1期."
211,“平”、“靓”、“正”与现代粤语词汇的变异,黄坤尧,词汇学与辞书学,2013,第2期,"黄坤尧.“平”、“靓”、“正”与现代粤语词汇的变异[J].澳门语言学刊,2013年第2期."
212,对《现代汉语词典》第6 版所收“字母词”的思考,李新田、邵宇彤,词汇学与辞书学,2013,第2期,"李新田、邵宇彤.对《现代汉语词典》第6 版所收“字母词”的思考[J].澳门语言学刊,2013年第2期."
213,《乌鲁木齐方言词典》中附加法构成的三字格,王景荣、朱学佳,词汇学与辞书学,2013,第2期,"王景荣、朱学佳.《乌鲁木齐方言词典》中附加法构成的三字格[J].澳门语言学刊,2013年第2期."
214,类义词与词典的收词释义,王楠,词汇学与辞书学,2014,第1期,"王楠.类义词与词典的收词释义[J].澳门语言学刊,2014年第1期."
215,由“失联”谈网络中的缩略造词,白玉寒,词汇学与辞书学,2014,第2期,"白玉寒.由“失联”谈网络中的缩略造词[J].澳门语言学刊,2014年第2期."
216,介词并入与“V+给”类结构的词汇化,罗耀华、王焕,词汇学与辞书学,2014,第2期,"罗耀华、王焕.介词并入与“V+给”类结构的词汇化[J].澳门语言学刊,2014年第2期."
217,现代汉语“背”一词的多义体系分析,于泳波,词汇学与辞书学,2015,第2期,"于泳波.现代汉语“背”一词的多义体系分析[J].澳门语言学刊,2015年第2期."
218,“资”“赍”变韵构词研究,赵团员,词汇学与辞书学,2016,第1期,"赵团员.“资”“赍”变韵构词研究[J].澳门语言学刊,2016年第1期."
219,河南陕县方言亲属称谓的“合称”模式——兼论称谓形式的动态研究,张邱林,词汇学与辞书学,2016,第1期,"张邱林.河南陕县方言亲属称谓的“合称”模式——兼论称谓形式的动态研究[J].澳门语言学刊,2016年第1期."
220,安徽霍山话“父亲”称谓初探,曹东,词汇学与辞书学,2016,第2期,"曹东.安徽霍山话“父亲”称谓初探[J].澳门语言学刊,2016年第2期."
221,《汉语外来词词典》英源外来词研究,蒋淞宇,词汇学与辞书学,2016,第2期,"蒋淞宇.《汉语外来词词典》英源外来词研究[J].澳门语言学刊,2016年第2期."
222,四邑方言特征词研究,郑伟娜,词汇学与辞书学,2017,第1期,"郑伟娜.四邑方言特征词研究[J].澳门语言学刊,2017年第1期."
223,“尴尬”的读音和来源,罗言发,词汇学与辞书学,2017,第1期,"罗言发.“尴尬”的读音和来源[J].澳门语言学刊,2017年第1期."
224,流行语“走心”的词汇化,孙兴亮,词汇学与辞书学,2017,第1期,"孙兴亮.流行语“走心”的词汇化[J].澳门语言学刊,2017年第1期."
225,称谓词“老公”及相关问题,周怡帆、乔全生,词汇学与辞书学,2017,第2期,"周怡帆、乔全生.称谓词“老公”及相关问题[J].澳门语言学刊,2017年第2期."
226,挖掘义动词“掘、创、挖”之历时演变与南北地域分布,任鹏波,词汇学与辞书学,2018,第1期,"任鹏波.挖掘义动词“掘、创、挖”之历时演变与南北地域分布[J].澳门语言学刊,2018年第1期."
227,汉语方言中的“掌”与“着”,苏俊波,词汇学与辞书学,2018,第1期,"苏俊波.汉语方言中的“掌”与“着”[J].澳门语言学刊,2018年第1期."
228,结球甘蓝异名研究,徐媛,词汇学与辞书学,2019,第1期,"徐媛.结球甘蓝异名研究[J].澳门语言学刊,2019年第1期."
229,从空间到时间：身体部位词语的时间表达研究,罗耀华、段宇,词汇学与辞书学,2019,第2期,"罗耀华、段宇.从空间到时间：身体部位词语的时间表达研究[J].澳门语言学刊,2019年第2期."
230,中外古今荟萃的澳门谚语,张卓夫,词汇学与辞书学,2019,第2期,"张卓夫.中外古今荟萃的澳门谚语[J].澳门语言学刊,2019年第2期."
231,社区词入典,田小琳,词汇学与辞书学,2019,第2期,"田小琳.社区词入典[J].澳门语言学刊,2019年第2期."
232,汉语谚语中的“叠用”类别与特点,耿国锋,词汇学与辞书学,2020,第2期,"耿国锋.汉语谚语中的“叠用”类别与特点[J].澳门语言学刊,2020年第2期."
233,“人类命运共同体”是“拟人隐喻”吗？,尹洪波,词汇学与辞书学,2020,第2期,"尹洪波.“人类命运共同体”是“拟人隐喻”吗？[J].澳门语言学刊,2020年第2期."
234,白维国本《近代汉语词典》商榷六题,崔山佳,词汇学与辞书学,2020,第2期,"崔山佳.白维国本《近代汉语词典》商榷六题[J].澳门语言学刊,2020年第2期."
235,大数据背景下《澳门日报》与《北京日报》标题中高频名词的差异研究,沈威、白林倩,词汇学与辞书学,2020,第2期,"沈威、白林倩.大数据背景下《澳门日报》与《北京日报》标题中高频名词的差异研究[J].澳门语言学刊,2020年第2期."
236,山西晋语离石方言的“弭”,杨炎华、李彦霞,词汇学与辞书学,2021,第1期,"杨炎华、李彦霞.山西晋语离石方言的“弭”[J].澳门语言学刊,2021年第1期."
237,“X 点”的词汇化,殷志纯、姚双云,词汇学与辞书学,2021,第2期,"殷志纯、姚双云.“X 点”的词汇化[J].澳门语言学刊,2021年第2期."
238,从方言角度观察《现汉》《规范词典》释义三则,吴继章、杨同用,词汇学与辞书学,2022,第1期,"吴继章、杨同用.从方言角度观察《现汉》《规范词典》释义三则[J].澳门语言学刊,2022年第1期."
239,类词缀“非”“无”的特性与中文信息处理及词典释义的相关问题,宁瑶瑶,词汇学与辞书学,2022,第1期,"宁瑶瑶.类词缀“非”“无”的特性与中文信息处理及词典释义的相关问题[J].澳门语言学刊,2022年第1期."
240,语言特区里的网络新成语,杨勇,词汇学与辞书学,2022,第1期,"杨勇.语言特区里的网络新成语[J].澳门语言学刊,2022年第1期."
241,网络流行语“破防”的语义转变和隐喻机制,刘其琛,词汇学与辞书学,2022,第2期,"刘其琛.网络流行语“破防”的语义转变和隐喻机制[J].澳门语言学刊,2022年第2期."
242,“仙人跳”的演变及其词汇化,杨锦,词汇学与辞书学,2022,第2期,"杨锦.“仙人跳”的演变及其词汇化[J].澳门语言学刊,2022年第2期."
243,新闻标题常用词“被指”探析,陈禹,词汇学与辞书学,2023,第1期,"陈禹.新闻标题常用词“被指”探析[J].澳门语言学刊,2023年第1期."
244,风格学的基本概念,高名凯,修辞学与语用学,1995,总第1期,"高名凯.风格学的基本概念[J].澳门语言学刊,1995年总第1期."
245,深化理论加强应用——“修辞理论与应用国际研讨会”纪要,沈年,修辞学与语用学,1995,总第1期,"沈年.深化理论加强应用——“修辞理论与应用国际研讨会”纪要[J].澳门语言学刊,1995年总第1期."
246,五洲华人参与的修辞实践,程祥徽,修辞学与语用学,1995,总第1期,"程祥徽.五洲华人参与的修辞实践[J].澳门语言学刊,1995年总第1期."
247,《聊斋志异》的命题艺术,邓景滨,修辞学与语用学,1995,总第1期,"邓景滨.《聊斋志异》的命题艺术[J].澳门语言学刊,1995年总第1期."
248,言之无文，行之不远,蒋绍愚,修辞学与语用学,1996,总第2/3期,"蒋绍愚.言之无文，行之不远[J].澳门语言学刊,1996年总第2/3期."
249,语言架起传意的桥梁,程祥徽,修辞学与语用学,1996,总第2/3期,"程祥徽.语言架起传意的桥梁[J].澳门语言学刊,1996年总第2/3期."
250,从修辞的观点看非规范的“有”字句,林万菁,修辞学与语用学,1998,总第6/7期,"林万菁.从修辞的观点看非规范的“有”字句[J].澳门语言学刊,1998年总第6/7期."
251,新媒介与语言变迁,尹德刚,修辞学与语用学,1998,总第6/7期,"尹德刚.新媒介与语言变迁[J].澳门语言学刊,1998年总第6/7期."
252,香港中文报刊的语文探新,黄坤亮,修辞学与语用学,1998,总第6/7期,"黄坤亮.香港中文报刊的语文探新[J].澳门语言学刊,1998年总第6/7期."
253,世纪之交报刊语言的变化趋向,谭汝为,修辞学与语用学,2002,总第16/17期,"谭汝为.世纪之交报刊语言的变化趋向[J].澳门语言学刊,2002年总第16/17期."
254,Group μ修辞理论述评,李晗蕾,修辞学与语用学,2003,总第20/21期,"李晗蕾.Group μ修辞理论述评[J].澳门语言学刊,2003年总第20/21期."
255,“悦耳的”老舍——论老舍作品的音乐美,范亦豪,修辞学与语用学,2003,总第22/23期,"范亦豪.“悦耳的”老舍——论老舍作品的音乐美[J].澳门语言学刊,2003年总第22/23期."
256,孔子那里就有言语美,程祥徽,修辞学与语用学,2003,总第22/23期,"程祥徽.孔子那里就有言语美[J].澳门语言学刊,2003年总第22/23期."
257,辞章学研究的回顾与前瞻（大纲）,郑颐寿,修辞学与语用学,2003,总第22/23期,"郑颐寿.辞章学研究的回顾与前瞻（大纲）[J].澳门语言学刊,2003年总第22/23期."
258,“广义修辞学”的佳作——评介《辞章学论稿》,林承璋,修辞学与语用学,2003,总第22/23期,"林承璋.“广义修辞学”的佳作——评介《辞章学论稿》[J].澳门语言学刊,2003年总第22/23期."
259,试论复句与章法,仇小屏,修辞学与语用学,2003,总第22/23期,"仇小屏.试论复句与章法[J].澳门语言学刊,2003年总第22/23期."
260,论修辞要善于倾听,林兴仁,修辞学与语用学,2003,总第22/23期,"林兴仁.论修辞要善于倾听[J].澳门语言学刊,2003年总第22/23期."
261,从章回小说回目谈修辞学与语用学的重合面,郑铁生,修辞学与语用学,2003,总第22/23期,"郑铁生.从章回小说回目谈修辞学与语用学的重合面[J].澳门语言学刊,2003年总第22/23期."
262,病辞应成为修辞学的研究对象,程国珍,修辞学与语用学,2003,总第22/23期,"程国珍.病辞应成为修辞学的研究对象[J].澳门语言学刊,2003年总第22/23期."
263,庄子的语言艺术,何淑贞,修辞学与语用学,2003,总第24/25期,"何淑贞.庄子的语言艺术[J].澳门语言学刊,2003年总第24/25期."
264,反义正说与正义反说,沈谦,修辞学与语用学,2003,总第24/25期,"沈谦.反义正说与正义反说[J].澳门语言学刊,2003年总第24/25期."
265,论语体词,袁晖,修辞学与语用学,2003,总第24/25期,"袁晖.论语体词[J].澳门语言学刊,2003年总第24/25期."
266,语体与句子选择,孟建安,修辞学与语用学,2003,总第24/25期,"孟建安.语体与句子选择[J].澳门语言学刊,2003年总第24/25期."
267,修辞学语境与语用学语境的异同,张宗正,修辞学与语用学,2003,总第24/25期,"张宗正.修辞学语境与语用学语境的异同[J].澳门语言学刊,2003年总第24/25期."
268,谐易：为港澳语言添采,邓景滨,修辞学与语用学,2004,总第26期,"邓景滨.谐易：为港澳语言添采[J].澳门语言学刊,2004年总第26期."
269,论仿拟与社会的“共变”轨迹,徐国珍,修辞学与语用学,2004,总第26期,"徐国珍.论仿拟与社会的“共变”轨迹[J].澳门语言学刊,2004年总第26期."
